,habitat_mgroves,habitat_coral,habitat_seagrass,habitat_h0to60,habitat_s0to60,habitat_s60to200,habitat_h60to200,habitat_s200to2000,habitat_h200to2000,habitat_s2000p,habitat_h2000p,habitat_seamounts,habitat_pelagic,habitat_pdeep,habitat_rkyintidal,habitat_intidalm,habitat_beach,habitat_saltmarsh,habitat_kelp,habitat_spnreef
threat_fert,1.8,1.8,2.1,1.6,2,1.4,1.7,2,0.6,1.3,0,0,1.2,0,1.6,1.6,0.4,1.9,0.4,1.4
threat_pest,1.4,1.2,1,2.2,1.2,1.4,0,2,0.2,1.7,0,0,1.9,1.6,2.1,2.8,0.1,1.7,1,2.8
threat_impv,0.5,0.7,0.8,2.2,1.5,2.1,0.2,2.1,0.2,1.8,0,0,2.3,1.6,2.1,1.6,0.6,2,0,2.7
threat_pop,3.3,2.3,2.5,2.5,2,1.1,2.9,0,0,1.6,0,0,0.9,0,2.8,2.2,2.7,1.6,1.6,3
